,行 ID,订单 ID,订单日期,发货日期,邮寄方式,客户 ID,客户名称,细分,城市,省/自治区,国家,地区,产品 ID,类别,子类别,产品名称,销售额,数量,折扣,利润,退回,地区经理
25,10,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-系固-10004801,办公用品,系固件,"Stockwell 橡皮筋, 整包",154.28,2,0.0,33.879999999999995,是,洪光
26,10,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-系固-10004801,办公用品,系固件,"Stockwell 橡皮筋, 整包",154.28,2,0.0,33.879999999999995,是,洪光
27,10,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-系固-10004801,办公用品,系固件,"Stockwell 橡皮筋, 整包",154.28,2,0.0,33.879999999999995,是,洪光
28,10,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-系固-10004801,办公用品,系固件,"Stockwell 橡皮筋, 整包",154.28,2,0.0,33.879999999999995,是,洪光
29,10,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-系固-10004801,办公用品,系固件,"Stockwell 橡皮筋, 整包",154.28,2,0.0,33.879999999999995,是,洪光
30,11,CN-2015-4195213,2015-12-22,2015-12-24,二级,谢雯-21700,谢雯,小型企业,榆林,陕西,中国,西北,技术-设备-10000001,技术,设备,"爱普生 计算器, 耐用",434.28,2,0.0,4.2,,杨健
31,12,CN-2018-5801711,2018-06-01,2018-06-06,标准级,康青-19585,康青,消费者,哈尔滨,黑龙江,中国,东北,技术-复印-10002416,技术,复印机,"惠普 墨水, 红色",2368.7999999999997,4,0.0,639.52,,楚杰
32,13,CN-2016-2752724,2016-06-05,2016-06-09,标准级,赵婵-10885,赵婵,消费者,青岛,山东,中国,华东,办公用-信封-10000017,办公用品,信封,"Jiffy 局间信封, 银色",683.76,3,0.0,88.62,,洪光
33,14,CN-2016-2752724,2016-06-05,2016-06-09,标准级,赵婵-10885,赵婵,消费者,青岛,山东,中国,华东,技术-配件-10004920,技术,配件,"SanDisk 键区, 可编程",1326.5000000000005,5,0.0,344.4,,洪光
34,15,CN-2016-2752724,2016-06-05,2016-06-09,标准级,赵婵-10885,赵婵,消费者,青岛,山东,中国,华东,技术-电话-10004349,技术,电话,"诺基亚 充电器, 蓝色",5936.56,2,0.0,2849.28,,洪光
35,16,US-2017-2511714,2017-11-22,2017-11-25,一级,刘斯-20965,刘斯云,公司,徐州,江苏,中国,华东,办公用-器具-10003582,办公用品,器具,"KitchenAid 冰箱, 黑色",10336.452,7,0.4,-3962.728,,洪光
36,17,US-2017-2511714,2017-11-22,2017-11-25,一级,刘斯-20965,刘斯云,公司,徐州,江苏,中国,华东,办公用-标签-10004648,办公用品,标签,"Novimex 圆形标签, 红色",85.25999999999999,3,0.0,38.22,,洪光
37,18,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-配件-10001200,技术,配件,"Memorex 键盘, 实惠",2330.44,7,0.0,1071.1399999999999,是,洪光
38,18,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-配件-10001200,技术,配件,"Memorex 键盘, 实惠",2330.44,7,0.0,1071.1399999999999,是,洪光
39,18,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-配件-10001200,技术,配件,"Memorex 键盘, 实惠",2330.44,7,0.0,1071.1399999999999,是,洪光
40,18,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-配件-10001200,技术,配件,"Memorex 键盘, 实惠",2330.44,7,0.0,1071.1399999999999,是,洪光
41,18,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-配件-10001200,技术,配件,"Memorex 键盘, 实惠",2330.44,7,0.0,1071.1399999999999,是,洪光
42,18,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-配件-10001200,技术,配件,"Memorex 键盘, 实惠",2330.44,7,0.0,1071.1399999999999,是,洪光
43,18,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-配件-10001200,技术,配件,"Memorex 键盘, 实惠",2330.44,7,0.0,1071.1399999999999,是,洪光
44,18,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-配件-10001200,技术,配件,"Memorex 键盘, 实惠",2330.44,7,0.0,1071.1399999999999,是,洪光
45,18,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-配件-10001200,技术,配件,"Memorex 键盘, 实惠",2330.44,7,0.0,1071.1399999999999,是,洪光
46,18,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-配件-10001200,技术,配件,"Memorex 键盘, 实惠",2330.44,7,0.0,1071.1399999999999,是,洪光
47,18,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-配件-10001200,技术,配件,"Memorex 键盘, 实惠",2330.44,7,0.0,1071.1399999999999,是,洪光
48,18,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-配件-10001200,技术,配件,"Memorex 键盘, 实惠",2330.44,7,0.0,1071.1399999999999,是,洪光
49,18,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-配件-10001200,技术,配件,"Memorex 键盘, 实惠",2330.44,7,0.0,1071.1399999999999,是,洪光
50,18,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-配件-10001200,技术,配件,"Memorex 键盘, 实惠",2330.44,7,0.0,1071.1399999999999,是,洪光
51,18,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-配件-10001200,技术,配件,"Memorex 键盘, 实惠",2330.44,7,0.0,1071.1399999999999,是,洪光
52,18,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-配件-10001200,技术,配件,"Memorex 键盘, 实惠",2330.44,7,0.0,1071.1399999999999,是,洪光
53,18,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-配件-10001200,技术,配件,"Memorex 键盘, 实惠",2330.44,7,0.0,1071.1399999999999,是,洪光
54,18,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-配件-10001200,技术,配件,"Memorex 键盘, 实惠",2330.44,7,0.0,1071.1399999999999,是,洪光
55,19,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-用品-10000039,办公用品,用品,"Acme 尺子, 工业",85.54,1,0.0,23.939999999999998,是,洪光
56,19,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-用品-10000039,办公用品,用品,"Acme 尺子, 工业",85.54,1,0.0,23.939999999999998,是,洪光
57,19,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-用品-10000039,办公用品,用品,"Acme 尺子, 工业",85.54,1,0.0,23.939999999999998,是,洪光
58,19,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-用品-10000039,办公用品,用品,"Acme 尺子, 工业",85.54,1,0.0,23.939999999999998,是,洪光
59,19,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-用品-10000039,办公用品,用品,"Acme 尺子, 工业",85.54,1,0.0,23.939999999999998,是,洪光
60,19,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-用品-10000039,办公用品,用品,"Acme 尺子, 工业",85.54,1,0.0,23.939999999999998,是,洪光
61,19,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-用品-10000039,办公用品,用品,"Acme 尺子, 工业",85.54,1,0.0,23.939999999999998,是,洪光
62,19,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-用品-10000039,办公用品,用品,"Acme 尺子, 工业",85.54,1,0.0,23.939999999999998,是,洪光
63,19,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-用品-10000039,办公用品,用品,"Acme 尺子, 工业",85.54,1,0.0,23.939999999999998,是,洪光
64,19,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-用品-10000039,办公用品,用品,"Acme 尺子, 工业",85.54,1,0.0,23.939999999999998,是,洪光
65,19,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-用品-10000039,办公用品,用品,"Acme 尺子, 工业",85.54,1,0.0,23.939999999999998,是,洪光
66,19,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-用品-10000039,办公用品,用品,"Acme 尺子, 工业",85.54,1,0.0,23.939999999999998,是,洪光
67,19,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-用品-10000039,办公用品,用品,"Acme 尺子, 工业",85.54,1,0.0,23.939999999999998,是,洪光
68,19,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-用品-10000039,办公用品,用品,"Acme 尺子, 工业",85.54,1,0.0,23.939999999999998,是,洪光
69,19,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-用品-10000039,办公用品,用品,"Acme 尺子, 工业",85.54,1,0.0,23.939999999999998,是,洪光
70,19,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-用品-10000039,办公用品,用品,"Acme 尺子, 工业",85.54,1,0.0,23.939999999999998,是,洪光
71,19,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-用品-10000039,办公用品,用品,"Acme 尺子, 工业",85.54,1,0.0,23.939999999999998,是,洪光
72,19,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-用品-10000039,办公用品,用品,"Acme 尺子, 工业",85.54,1,0.0,23.939999999999998,是,洪光
73,20,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004589,办公用品,装订机,"Avery 孔加固材料, 耐用",137.9,5,0.0,2.1,是,洪光
74,20,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004589,办公用品,装订机,"Avery 孔加固材料, 耐用",137.9,5,0.0,2.1,是,洪光
75,20,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004589,办公用品,装订机,"Avery 孔加固材料, 耐用",137.9,5,0.0,2.1,是,洪光
76,20,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004589,办公用品,装订机,"Avery 孔加固材料, 耐用",137.9,5,0.0,2.1,是,洪光
77,20,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004589,办公用品,装订机,"Avery 孔加固材料, 耐用",137.9,5,0.0,2.1,是,洪光
78,20,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004589,办公用品,装订机,"Avery 孔加固材料, 耐用",137.9,5,0.0,2.1,是,洪光
79,20,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004589,办公用品,装订机,"Avery 孔加固材料, 耐用",137.9,5,0.0,2.1,是,洪光
80,20,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004589,办公用品,装订机,"Avery 孔加固材料, 耐用",137.9,5,0.0,2.1,是,洪光
81,20,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004589,办公用品,装订机,"Avery 孔加固材料, 耐用",137.9,5,0.0,2.1,是,洪光
82,20,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004589,办公用品,装订机,"Avery 孔加固材料, 耐用",137.9,5,0.0,2.1,是,洪光
83,20,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004589,办公用品,装订机,"Avery 孔加固材料, 耐用",137.9,5,0.0,2.1,是,洪光
84,20,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004589,办公用品,装订机,"Avery 孔加固材料, 耐用",137.9,5,0.0,2.1,是,洪光
85,20,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004589,办公用品,装订机,"Avery 孔加固材料, 耐用",137.9,5,0.0,2.1,是,洪光
86,20,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004589,办公用品,装订机,"Avery 孔加固材料, 耐用",137.9,5,0.0,2.1,是,洪光
87,20,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004589,办公用品,装订机,"Avery 孔加固材料, 耐用",137.9,5,0.0,2.1,是,洪光
88,20,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004589,办公用品,装订机,"Avery 孔加固材料, 耐用",137.9,5,0.0,2.1,是,洪光
89,20,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004589,办公用品,装订机,"Avery 孔加固材料, 耐用",137.9,5,0.0,2.1,是,洪光
90,20,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004589,办公用品,装订机,"Avery 孔加固材料, 耐用",137.9,5,0.0,2.1,是,洪光
91,21,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004369,办公用品,装订机,"Cardinal 装订机, 回收",397.32,6,0.0,126.84,是,洪光
92,21,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004369,办公用品,装订机,"Cardinal 装订机, 回收",397.32,6,0.0,126.84,是,洪光
93,21,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004369,办公用品,装订机,"Cardinal 装订机, 回收",397.32,6,0.0,126.84,是,洪光
94,21,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004369,办公用品,装订机,"Cardinal 装订机, 回收",397.32,6,0.0,126.84,是,洪光
95,21,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004369,办公用品,装订机,"Cardinal 装订机, 回收",397.32,6,0.0,126.84,是,洪光
96,21,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004369,办公用品,装订机,"Cardinal 装订机, 回收",397.32,6,0.0,126.84,是,洪光
97,21,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004369,办公用品,装订机,"Cardinal 装订机, 回收",397.32,6,0.0,126.84,是,洪光
98,21,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004369,办公用品,装订机,"Cardinal 装订机, 回收",397.32,6,0.0,126.84,是,洪光
99,21,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004369,办公用品,装订机,"Cardinal 装订机, 回收",397.32,6,0.0,126.84,是,洪光
100,21,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004369,办公用品,装订机,"Cardinal 装订机, 回收",397.32,6,0.0,126.84,是,洪光
101,21,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004369,办公用品,装订机,"Cardinal 装订机, 回收",397.32,6,0.0,126.84,是,洪光
102,21,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004369,办公用品,装订机,"Cardinal 装订机, 回收",397.32,6,0.0,126.84,是,洪光
103,21,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004369,办公用品,装订机,"Cardinal 装订机, 回收",397.32,6,0.0,126.84,是,洪光
104,21,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004369,办公用品,装订机,"Cardinal 装订机, 回收",397.32,6,0.0,126.84,是,洪光
105,21,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004369,办公用品,装订机,"Cardinal 装订机, 回收",397.32,6,0.0,126.84,是,洪光
106,21,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004369,办公用品,装订机,"Cardinal 装订机, 回收",397.32,6,0.0,126.84,是,洪光
107,21,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004369,办公用品,装订机,"Cardinal 装订机, 回收",397.32,6,0.0,126.84,是,洪光
108,21,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004369,办公用品,装订机,"Cardinal 装订机, 回收",397.32,6,0.0,126.84,是,洪光
109,22,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-电话-10002777,技术,电话,"三星 办公室电话机, 整包",2133.46,7,0.0,959.4200000000001,是,洪光
110,22,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-电话-10002777,技术,电话,"三星 办公室电话机, 整包",2133.46,7,0.0,959.4200000000001,是,洪光
111,22,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-电话-10002777,技术,电话,"三星 办公室电话机, 整包",2133.46,7,0.0,959.4200000000001,是,洪光
112,22,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-电话-10002777,技术,电话,"三星 办公室电话机, 整包",2133.46,7,0.0,959.4200000000001,是,洪光
113,22,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-电话-10002777,技术,电话,"三星 办公室电话机, 整包",2133.46,7,0.0,959.4200000000001,是,洪光
114,22,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-电话-10002777,技术,电话,"三星 办公室电话机, 整包",2133.46,7,0.0,959.4200000000001,是,洪光
115,22,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-电话-10002777,技术,电话,"三星 办公室电话机, 整包",2133.46,7,0.0,959.4200000000001,是,洪光
116,22,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-电话-10002777,技术,电话,"三星 办公室电话机, 整包",2133.46,7,0.0,959.4200000000001,是,洪光
